Journal title	ISSN	eISSN	Publisher details	Open Access Status
Journal of Education and Community Health	2820-896X	-	Hamadan University of Medical Sciences	Unpaywall Open Access
Journal of Education and e-Learning Research	2518-0169	2410-9991	Asian Online Journal Publishing Group	
Journal of Education and Health Promotion	2277-9531	2319-6440	Wolters Kluwer Medknow Publications	Unpaywall Open Access
Journal of Education and Learning	2089-9823	2302-9277	Intelektual Pustaka Media Utama	
Journal of Education and Work	1363-9080	1469-9435	Brill Academic Publishers	
Journal of Education Culture and Society	2081-1640	-	Pro Scientia Publica Foundation	Unpaywall Open Access
Journal of Education Finance	0098-9495	-	University of Illinois Press	
Journal of Education for Business	0883-2323	1940-3356	Taylor and Francis Ltd.	
Journal of Education for Library and Information Science	0748-5786	2328-2967	University of Toronto Press	
Journal of Education for Students Placed at Risk	1082-4669	-	Routledge	
Journal of Education for Teaching	0260-7476	1360-0540	Routledge	
Journal of Education Human Resources	-	2562-783X	University of Toronto Press	
Journal of Education in Muslim Societies	2641-0044	2641-0052	Indiana University Press	
Journal of Education Policy	0268-0939	1464-5106	Routledge	
Journal of Educational Administration	0957-8234	-	Emerald Group Publishing Ltd.	
Journal of Educational Administration and History	0022-0620	1478-7431	Routledge	
Journal of Educational and Behavioral Statistics	1076-9986	1935-1054	SAGE Publications Inc.	
Journal of Educational and Psychological Consultation	1047-4412	1532-768X	Taylor and Francis Ltd.	
Journal of Educational and Social Research	2239-978X	2240-0524	Richtmann Publishing Ltd	
Journal of Educational Change	1389-2843	-	Springer Netherlands	
Journal of Educational Computing Research	0735-6331	1541-4140	SAGE Publications Inc.	
Journal of Educational Data Mining	-	2157-2100	International Educational Data Mining Society	
Journal of Educational Evaluation for Health Professions	-	1975-5937	Korea Health Personnel Licensing Examination Institute	Unpaywall Open Access
Journal of Educational Measurement	0022-0655	-	Wiley-Blackwell Publishing Ltd	
Journal of Educational Media and Library Sciences	1013-090X	-	Tamkang University	
Journal of Educational Media, Memory, and Society	2041-6938	2041-6946	Berghahn Journals	
Journal of Educational Multimedia and Hypermedia	1055-8896	1943-5916	Association for the Advancement of Computing in Education	
Journal of Educational Psychology	0022-0663	1939-2176	American Psychological Association	
Journal of Educational Research	0022-0671	1940-0675	Routledge	
Journal of Educational Technology Development and Exchange	1941-8027	1941-8035	University of Southern MIssissippi	Unpaywall Open Access
Journal of Educational, Cultural and Psychological Studies	2037-7932	2037-7924	LED Edizioni Universitarie	Unpaywall Open Access
Journal of Educators Online	1547-500X	-	Grand Canyon University	Unpaywall Open Access
Journal of Egyptian Archaeology	0307-5133	2514-0582	Egypt Exploration Society	
Journal of Egyptian History	1874-1657	1874-1665	Brill Academic Publishers	
Journal of Egyptian Public Health Association	0013-2446	2090-262X	Springer International Publishing AG	Unpaywall Open Access
Journal of Elasticity	0374-3535	1573-2681	Springer Netherlands	
Journal of Elastomers and Plastics	0095-2443	1530-8006	SAGE Publications Ltd	
Journal of Elder Abuse and Neglect	0894-6566	1540-4129	Routledge	
Journal of E-Learning and Knowledge Society	1826-6223	1971-8829	Italian e-Learning Association	
Journal of Elections, Public Opinion and Parties	1745-7289	-	Routledge	
Journal of Electric Propulsion	-	2731-4596	Springer Nature	
Journal of Electrical and Computer Engineering	2090-0147	2090-0155	John Wiley and Sons Ltd	Unpaywall Open Access
Journal of Electrical and Electronics Engineering	1844-6035	2067-2128	Editura Universitatii din Oradea	
Journal of Electrical Bioimpedance	-	1891-5469	Sciendo	Unpaywall Open Access
Journal of Electrical Engineering	1335-3632	1339-309X	Walter de Gruyter GmbH	
Journal of Electrical Engineering (China)	2095-9524	-	Editorial Office of Journal of Electrical Engineering	
Journal of Electrical Engineering and Technology	1975-0102	-	Korean Institute of Electrical Engineers	
Journal of Electrical Systems	1112-5209	-	Engineering and Scientific Research Groups	
Journal of Electroanalytical Chemistry	1572-6657	-	Elsevier B.V.	
Journal of Electrocardiology	0022-0736	1532-8430	Elsevier B.V.	
Journal of Electroceramics	1385-3449	1573-8663	Springer Netherlands	
Journal of Electrochemical Energy Conversion and Storage	2381-6872	2381-6910	American Society of Mechanical Engineers (ASME)	
Journal of Electrochemical Science and Engineering	-	1847-9286	International Association of Physical Chemists	Unpaywall Open Access
Journal of Electrochemical Science and Technology	2093-8551	2288-9221	The Korean Electrochemical Society	
Journal of Electrochemistry	1006-3471	2993-074X	Chinese Chemical Society	
Journal of Electromagnetic Engineering and Science	2671-7255	2671-7263	Korean Institute of Electromagnetic Engineering and Science	Unpaywall Open Access
Journal of Electromagnetic Waves and Applications	0920-5071	1569-3937	Taylor and Francis Ltd.	
Journal of Electromyography and Kinesiology	1050-6411	1873-5711	Elsevier Ltd	
Journal of Electron Spectroscopy and Related Phenomena	0368-2048	-	Elsevier B.V.	
Journal of Electronic Commerce in Organizations	1539-2937	-	IGI Publishing	
Journal of Electronic Commerce Research	1938-9027	1526-6133	California State University, Long Beach	
Journal of Electronic Imaging	1017-9909	1560-229X	SPIE	
Journal of Electronic Materials	0361-5235	1543-186X	Springer New York	
Journal of Electronic Packaging	1043-7398	1528-9044	American Society of Mechanical Engineers (ASME)	
Journal of Electronic Publishing	-	1080-2711	University of Michigan Press	Unpaywall Open Access
Journal of Electronic Resources in Medical Libraries	1542-4065	-	Routledge	
Journal of Electronic Resources Librarianship	1941-126X	1941-1278	Routledge	
Journal of Electronic Science and Technology	1674-862X	2666-223X	KeAi Communications Co.	Unpaywall Open Access
Journal of Electronic Testing: Theory and Applications (JETTA)	0923-8174	1573-0727	Springer Netherlands	
Journal of Electronics, Electromedical Engineering, and Medical Informatics	-	2656-8632	Jurusan Teknik Elektromedik, Politeknik Kesehatan Kemenkes Surabaya, Indonesia	
Journal of Electrostatics	0304-3886	-	Elsevier B.V.	
Journal of Elementary Education	1855-4431	2350-4803	University of Maribor Press	Unpaywall Open Access
Journal of Elementology	1644-2296	-	Polish Society Magnesium Research	
Journal of Elliptic and Parabolic Equations	2296-9020	2296-9039	Springer International Publishing AG	
Journal of EMDR Practice and Research	1933-3196	1933-320X	Springer Publishing Company	
Journal of Emergencies, Trauma and Shock	0974-2700	0974-519X	Wolters Kluwer Medknow Publications	Unpaywall Open Access
Journal of Emergency and Critical Care Medicine	-	2521-3563	AME Publishing Company	
Journal of Emergency Management	1543-5865	-	Weston Medical Publishing	
Journal of Emergency Medicine	0736-4679	1090-1280	Elsevier Inc.	
Journal of Emergency Medicine, Trauma and Acute Care	1999-7086	1999-7094	HBKU Press	Unpaywall Open Access
Journal of Emergency Nursing	0099-1767	1527-2966	Elsevier Inc.	
Journal of Emergency Practice and Trauma	-	2383-4544	Kerman University of Medical Sciences	Unpaywall Open Access
Journal of Emerging Market Finance	0972-6527	0973-0710	Sage Publications India Pvt. Ltd	
Journal of Emerging Technologies in Accounting	1554-1908	1558-7940	American Accounting Association	
Journal of Emotional and Behavioral Disorders	1063-4266	1538-4799	SAGE Publications Inc.	
Journal of Empirical Finance	0927-5398	-	Elsevier B.V.	
Journal of Empirical Generalisations in Marketing Science	-	1326-4443	University of South Australia	
Journal of Empirical Legal Studies	1740-1453	1740-1461	Wiley-Blackwell Publishing Ltd	
Journal of Empirical Research on Human Research Ethics	1556-2646	1556-2654	SAGE Publications Inc.	
Journal of Empirical Theology	0922-2936	1570-9256	Brill Academic Publishers	
Journal of Employment Counseling	0022-0787	2161-1920	Wiley-Blackwell	
Journal of Enabling Technologies	-	2398-6263	Emerald Group Publishing Ltd.	
Journal of Endocrinological Investigation	0391-4097	1720-8386	Springer Science and Business Media Deutschland GmbH	
Journal of Endocrinology	0022-0795	1479-6805	BioScientifica Ltd.	
Journal of Endocrinology and Metabolism	1923-2861	1923-287X	Elmer Press	
Journal of Endodontics	0099-2399	1878-3554	Elsevier Inc.	
Journal of Endometriosis and Pelvic Pain Disorders	2284-0265	2284-0273	Wichtig Publishing Srl	
Journal of Endourology	0892-7790	1557-900X	Mary Ann Liebert Inc.	
Journal of Endovascular Resuscitation and Trauma Management	2002-7567	2003-539X	Orebro University Hospital	Unpaywall Open Access
Journal of Endovascular Therapy	1526-6028	1545-1550	SAGE Publications Inc.	
Journal of Energetic Materials	0737-0652	1545-8822	Taylor and Francis Ltd.	
Journal of Energy and Development	0361-4476	-	International Research Center for Energy and Economic Development	
Journal of Energy and Natural Resources Law	0264-6811	2376-4538	Taylor and Francis Ltd.	
Journal of Energy Chemistry	2095-4956	-	Elsevier B.V.	
Journal of Energy Engineering	0733-9402	1943-7897	American Society of Civil Engineers (ASCE)	
Journal of Energy in Southern Africa	1021-447X	-	Energy Research Institute, University of Cape Town	Unpaywall Open Access
Journal of Energy Markets	1756-3607	1756-3615	Infopro digital	
Journal of Energy Resources Technology	0195-0738	1528-8994	American Society of Mechanical Engineers (ASME)	
Journal of Energy Storage	-	2352-152X	Elsevier B.V.	
Journal of Energy Systems	-	2602-2052	Erol Kurt	
Journal of Engineered Fibers and Fabrics	-	1558-9250	SAGE Publications Ltd	Unpaywall Open Access
Journal of Engineering	-	2051-3305	John Wiley and Sons Ltd	
Journal of Engineering (United Kingdom)	2314-4904	2314-4912	John Wiley and Sons Ltd	Unpaywall Open Access
Journal of Engineering and Sustainable Development	2520-0917	2520-0925	Mustansiriyah University College of Engineering	Unpaywall Open Access
Journal of Engineering and Technological Sciences	2337-5779	2338-5502	Institute for Research and Community Services, Institut Teknologi Bandung	
Journal of Engineering and Technology for Industrial Applications	-	2447-0228	Galileo Institute of Technology and Education of the Amazon (ITEGAM)	Unpaywall Open Access
Journal of Engineering and Technology Management - JET-M	0923-4748	1879-1719	Elsevier B.V.	
Journal of Engineering Design	0954-4828	1466-1837	Taylor and Francis Ltd.	
Journal of Engineering Education	1069-4730	2168-9830	Wiley-Blackwell	
Journal of Engineering Education Transformations	2349-2473	2394-1707	Rajarambapu Institute Of Technology	
Journal of Engineering for Gas Turbines and Power	0742-4795	1528-8919	American Society of Mechanical Engineers (ASME)	
Journal of Engineering for Sustainable Buildings and Cities	2642-6641	2642-6625	The American Society of Mechanical Engineers(ASME)	
Journal of Engineering Geology	1226-5268	2287-7169	Korean Society of Engineering Geology	
Journal of Engineering Materials and Technology	0094-4289	1528-8889	The American Society of Mechanical Engineers(ASME)	
Journal of Engineering Mathematics	0022-0833	1573-2703	Springer Netherlands	
Journal of Engineering Mechanics - ASCE	0733-9399	-	American Society of Civil Engineers (ASCE)	
Journal of Engineering Physics and Thermophysics	1062-0125	1573-871X	Springer GmbH & Co, Auslieferungs-Gesellschaf	
Journal of Engineering Research	1726-6009	1726-6742	Sultan Qaboos University	Unpaywall Open Access
Journal of Engineering Research (Kuwait)	2307-1877	2307-1885	Elsevier B.V.	Unpaywall Open Access
Journal of Engineering Science and Technology	1823-4690	-	Taylor's University	
Journal of Engineering Science and Technology Review	1791-9320	1791-2377	International Hellenic University School of Science and Technology	Unpaywall Open Access
Journal of Engineering Sciences (Ukraine)	2312-2498	2414-9381	Sumy State University	Unpaywall Open Access
Journal of Engineering Technology	0747-9964	-	American Society for Engineering Education	
Journal of Engineering Thermophysics	1810-2328	1990-5432	Pleiades Publishing	
Journal of Engineering, Design and Technology	1726-0531	-	Emerald Group Publishing Ltd.	
Journal of Engineering, Project, and Production Management	2221-6529	2223-8379	Engineering Project and Production Management	Unpaywall Open Access
Journal of English and Germanic Philology	0363-6941	-	University of Illinois Press	
Journal of English as a Lingua Franca	2191-9216	2191-933X	De Gruyter Mouton	
Journal of English for Academic Purposes	1475-1585	-	Elsevier B.V.	
Journal of English for Research Publication Purposes	2590-0994	2590-1001	John Benjamins Publishing Company	
Journal of English Language and Literature	1016-2283	2465-8545	English Language and Literature Association of Korea	
Journal of English Linguistics	0075-4242	1552-5457	SAGE Publications Ltd	
Journal of English Studies	1576-6357	1695-4300	Department of English, Universidad de La Rioja	Unpaywall Open Access
Journal of Enhanced Heat Transfer	1065-5131	1026-5511	Begell House Inc.	
Journal of Enterprise Information Management	1741-0398	-	Emerald Publishing	
Journal of Enterprising Communities	1750-6204	-	Emerald Group Publishing Ltd.	
Journal of Entomological and Acarological Research	2038-324X	2279-7084	Page Press Publications	Unpaywall Open Access
Journal of Entomological Research	0378-9519	0974-4576	Malhotra Publishing House	
Journal of Entomological Science	0749-8004	-	Georgia Entomological Society Inc.	
Journal of Entomological Society of Iran	0259-9996	2783-3968	Entomological Society of Iran (ESI)	Unpaywall Open Access
Journal of Entrepreneurial and Organizational Diversity	-	2281-8642	EURICSE	
Journal of Entrepreneurship	0971-3557	0973-0745	Sage Publications India Pvt. Ltd	
Journal of Entrepreneurship and Innovation in Emerging Economies	2393-9575	2394-9945	Sage Publications India Pvt. Ltd	
Journal of Entrepreneurship and Public Policy	2045-2101	2045-211X	Emerald Group Publishing Ltd.	
Journal of Entrepreneurship in Emerging Economies	2053-4604	2053-4612	Emerald Publishing	
Journal of Entrepreneurship, Management and Innovation	2299-7075	2299-7326	Cognitione Foundation for the Dissemination of Knowledge and Science	Unpaywall Open Access
Journal of Environment and Development	1070-4965	1552-5465	SAGE Publications Inc.	
Journal of Environmental Accounting and Management	2325-6192	2325-6206	L & H Scientific Publishing, LLC	
Journal of Environmental and Earth Sciences	-	2661-3190	Bilingual Publishing Group	
Journal of Environmental and Engineering Geophysics	1083-1363	-	Environmental and Engineering Geophysical Society (EEGS)	
